neo_id,diameter,absolute_magnitude,albedo,spectral_class
2006 KL89,0.965,18.64,0.056,
2006 OF5,1.415,19.17,0.017,
2006 OG15,0.365,19.82,0.159,
2006 UR217,0.887,19.84,0.027,
2007 RU10,0.922,19.2,0.048,
2007 VG189,0.505,19.51,0.065,
2007 WE55,0.687,20.06,0.031,
2007 YZ,0.532,19.53,0.09,
2008 QS11,0.453,19.93,0.094,
2008 US4,0.516,20.96,0.029,
2008 WB59,0.407,19.14,0.203,
2009 FY4,0.129,21.0,0.421,
2009 SP,0.485,19.4,0.119,
2009 UY19,0.105,23.43,0.063,
2009 WA,0.164,21.19,0.217,
2009 XD,0.615,18.78,0.154,
2010 AN2,0.123,22.19,0.155,
2010 AE30,0.05,23.6,0.259,
2010 AJ30,0.111,22.7,0.12,
2010 AG40,0.089,22.01,0.319,
2010 AG79,0.892,20.04,0.018,
2010 BC,0.08,22.2,0.433,
2010 BH2,0.363,19.61,0.213,
2010 CK1,0.084,24.0,0.063,
2010 CH18,0.394,18.98,0.286,
2010 CC19,0.104,22.46,0.196,
2010 CN44,0.34,19.72,0.185,
